qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qseqid_ID,qseqid_genome_length,sseqid_ID,definition,virus,protein_length,genome_ncbi_acc,sseqid_genome_length,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Exemplar or additional isolate,Virus name(s),Virus name abbreviation(s),Virus isolate designation,Virus GENBANK accession,Virus REFSEQ accession,Genome coverage,Genome composition,Host source,conserved_AA_#
AT10B_S2_NODE_1_length_122269_cov_11.242561_136,AIW02508.1,69.2,172,51,2,2,173,23,192,1.76e-66,203.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AIW02508.1,Lsr2-like DNA bridging protein,Streptomyces phage Jay2Jay,192.0,KM652554.1,133531.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus jay2jay,E,Streptomyces phage Jay2jay,,,KM652554,NC_029098,Complete genome,dsDNA,bacteria,119.024
AT10B_S2_NODE_1_length_122269_cov_11.242561_137,QGH76518.1,78.7,244,52,0,1,244,1,244,5.04e-143,402.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QGH76518.1,hypothetical protein SEA_DAUBENSKI_253,Streptomyces phage Daubenski,244.0,MN444876.1,133090.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus daubenski,E,Streptomyces phage Daubenski,,,MN444876,NC_055822,Complete genome,dsDNA,bacteria,192.028
AT10B_S2_NODE_1_length_122269_cov_11.242561_139,ASR77716.1,78.2,101,22,0,1,101,13,113,3.06e-50,156.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77716.1,ParB-like nuclease domain protein,Streptomyces phage Peebs,113.0,MF347638.1,133047.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus peebs,E,Streptomyces phage Peebs,,,MF347638,NC_042011,Complete genome,dsDNA,bacteria,78.982
AT10B_S2_NODE_1_length_122269_cov_11.242561_139,QJD50759.1,75.5,102,24,1,1,101,1,102,4.91e-47,148.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QJD50759.1,ParB-like nuclease domain protein,Streptomyces phage Bmoc,102.0,MT310865.1,132885.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus bmoc,E,Streptomyces phage Bmoc,,,MT310865,NC_055842,Complete genome,dsDNA,bacteria,77.01
AT10B_S2_NODE_1_length_122269_cov_11.242561_141,ASR77680.1,52.9,87,41,0,1,87,1,87,4.3500000000000003e-26,94.4,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77680.1,hypothetical protein SEA_PARADIDDLES_252,Streptomyces phage Paradiddles,90.0,MF347637.1,133486.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus paradiddles,E,Streptomyces phage Paradiddles,,,MF347637,NC_042010,Complete genome,dsDNA,bacteria,46.022999999999996
AT10B_S2_NODE_1_length_122269_cov_11.242561_141,QDK03070.1,52.9,87,41,0,1,87,1,87,4.3500000000000003e-26,94.4,AT10B_S2_NODE_1_length_122269_cov_11,103329,QDK03070.1,hypothetical protein SEA_BRAELYN_256,Streptomyces phage Braelyn,90.0,MN096371.1,131234.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus braelyn,E,Streptomyces phage Braelyn,,,MN096371,NC_055813,Complete genome,dsDNA,bacteria,46.022999999999996
AT10B_S2_NODE_1_length_122269_cov_11.242561_147,QBP31012.1,82.7,104,18,0,1,104,1,104,9.94e-64,190.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QBP31012.1,hypothetical protein SEA_EGOLE_272,Streptomyces phage EGole,104.0,MK494112.1,135653.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus egole,E,Streptomyces phage Egole,,,MK494112,NC_055791,Complete genome,dsDNA,bacteria,86.00800000000001
AT10B_S2_NODE_1_length_122269_cov_11.242561_148,ASR77486.1,81.2,101,19,0,3,103,4,104,1.85e-61,184.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77486.1,hypothetical protein SEA_NOOTNOOT_264,Streptomyces phage NootNoot,104.0,MF347636.1,131086.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus nootnoot,E,Streptomyces phage NootNoot,,,MF347636,NC_042009,Complete genome,dsDNA,bacteria,82.012
AT10B_S2_NODE_1_length_122269_cov_11.242561_149,ASR77689.1,82.4,68,12,0,2,69,3,70,9.640000000000001e-35,114.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77689.1,hypothetical protein SEA_PARADIDDLES_261,Streptomyces phage Paradiddles,70.0,MF347637.1,133486.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus paradiddles,E,Streptomyces phage Paradiddles,,,MF347637,NC_042010,Complete genome,dsDNA,bacteria,56.03200000000001
AT10B_S2_NODE_1_length_122269_cov_11.242561_149,QGH76538.1,72.1,68,19,0,2,69,3,70,6.46e-31,105.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QGH76538.1,hypothetical protein SEA_DAUBENSKI_264,Streptomyces phage Daubenski,71.0,MN444876.1,133090.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus daubenski,E,Streptomyces phage Daubenski,,,MN444876,NC_055822,Complete genome,dsDNA,bacteria,49.028
AT10B_S2_NODE_1_length_122269_cov_11.242561_150,AIW02524.1,78.7,47,10,0,35,81,1,47,4.71e-21,80.1,AT10B_S2_NODE_1_length_122269_cov_11,103329,AIW02524.1,hypothetical protein PBI_JAY2JAY_25,Streptomyces phage Jay2Jay,47.0,KM652554.1,133531.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus jay2jay,E,Streptomyces phage Jay2jay,,,KM652554,NC_029098,Complete genome,dsDNA,bacteria,36.989
AT10B_S2_NODE_1_length_122269_cov_11.242561_150,ASR77729.1,65.2,46,15,1,35,79,1,46,2.17e-10,53.1,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77729.1,hypothetical protein SEA_PEEBS_22,Streptomyces phage Peebs,48.0,MF347638.1,133047.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus peebs,E,Streptomyces phage Peebs,,,MF347638,NC_042011,Complete genome,dsDNA,bacteria,29.992
AT10B_S2_NODE_1_length_122269_cov_11.242561_151,QDK03081.1,77.2,145,33,0,1,145,1,145,7.14e-81,237.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QDK03081.1,HNH endonuclease,Streptomyces phage Braelyn,145.0,MN096371.1,131234.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus braelyn,E,Streptomyces phage Braelyn,,,MN096371,NC_055813,Complete genome,dsDNA,bacteria,111.94
AT10B_S2_NODE_1_length_122269_cov_11.242561_151,AXH70108.1,67.4,144,45,2,2,145,12,153,6.45e-65,197.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AXH70108.1,HNH endonuclease,Streptomyces phage Karimac,153.0,MH590599.1,131909.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus Karimac,E,Streptomyces phage Karimac,,,MH590599,NC_048724,Complete genome,dsDNA,bacteria,97.05600000000001
AT10B_S2_NODE_1_length_122269_cov_11.242561_151,AXH66999.1,67.1,140,45,1,6,145,15,153,9.16e-65,196.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AXH66999.1,HNH endonuclease,Streptomyces phage StarPlatinum,153.0,MH576965.1,133886.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus StarPlatinum,E,Streptomyces phage StarPlatinum,,,MH576965,NC_048721,Complete genome,dsDNA,bacteria,93.93999999999998
AT10B_S2_NODE_1_length_122269_cov_11.242561_152,AIW02526.1,79.0,62,13,0,14,75,8,69,3.2200000000000003e-31,106.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AIW02526.1,hypothetical protein PBI_JAY2JAY_27,Streptomyces phage Jay2Jay,75.0,KM652554.1,133531.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus jay2jay,E,Streptomyces phage Jay2jay,,,KM652554,NC_029098,Complete genome,dsDNA,bacteria,48.98
AT10B_S2_NODE_1_length_122269_cov_11.242561_152,ASR77731.1,54.8,62,28,0,14,75,9,70,3.43e-19,75.9,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77731.1,hypothetical protein SEA_PEEBS_24,Streptomyces phage Peebs,74.0,MF347638.1,133047.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus peebs,E,Streptomyces phage Peebs,,,MF347638,NC_042011,Complete genome,dsDNA,bacteria,33.976
AT10B_S2_NODE_1_length_122269_cov_11.242561_153,QDH93894.1,76.2,223,53,0,4,226,3,225,4.9499999999999994e-126,358.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QDH93894.1,ThyX-like thymidylate synthase,Streptomyces phage Evy,229.0,MK977711.1,132977.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus evy,E,Streptomyces phage Evy,,,MK977711,NC_055809,Complete genome,dsDNA,bacteria,169.92600000000002
AT10B_S2_NODE_1_length_122269_cov_11.242561_156,QDK02886.1,68.5,54,17,0,1,54,1,54,2.45e-17,69.7,AT10B_S2_NODE_1_length_122269_cov_11,103329,QDK02886.1,hypothetical protein SEA_BRAELYN_28,Streptomyces phage Braelyn,54.0,MN096371.1,131234.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus braelyn,E,Streptomyces phage Braelyn,,,MN096371,NC_055813,Complete genome,dsDNA,bacteria,36.99
AT10B_S2_NODE_1_length_122269_cov_11.242561_157,QDK02887.1,66.0,47,16,0,5,51,4,50,2.24e-13,59.7,AT10B_S2_NODE_1_length_122269_cov_11,103329,QDK02887.1,hypothetical protein SEA_BRAELYN_29,Streptomyces phage Braelyn,57.0,MN096371.1,131234.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus braelyn,E,Streptomyces phage Braelyn,,,MN096371,NC_055813,Complete genome,dsDNA,bacteria,31.02
AT10B_S2_NODE_1_length_122269_cov_11.242561_159,ASR77298.1,76.5,285,60,2,5,287,6,285,3.83e-139,396.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77298.1,hypothetical protein SEA_NOOTNOOT_28,Streptomyces phage NootNoot,289.0,MF347636.1,131086.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus nootnoot,E,Streptomyces phage NootNoot,,,MF347636,NC_042009,Complete genome,dsDNA,bacteria,218.025
AT10B_S2_NODE_1_length_122269_cov_11.242561_159,AXH66781.1,62.8,288,94,4,6,282,7,292,1.26e-112,329.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AXH66781.1,hypothetical protein SEA_STARPLATINUM_32,Streptomyces phage StarPlatinum,294.0,MH576965.1,133886.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus StarPlatinum,E,Streptomyces phage StarPlatinum,,,MH576965,NC_048721,Complete genome,dsDNA,bacteria,180.86399999999998
AT10B_S2_NODE_1_length_122269_cov_11.242561_162,AIW02535.1,59.3,54,22,0,1,54,1,54,3.08e-20,77.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AIW02535.1,hypothetical protein PBI_JAY2JAY_36,Streptomyces phage Jay2Jay,54.0,KM652554.1,133531.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus jay2jay,E,Streptomyces phage Jay2jay,,,KM652554,NC_029098,Complete genome,dsDNA,bacteria,32.022
AT10B_S2_NODE_1_length_122269_cov_11.242561_164,AXH67234.1,71.8,156,40,2,1,153,1,155,1.31e-78,232.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AXH67234.1,HNH endonuclease,Streptomyces phage Wollford,155.0,MH576968.1,133007.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus Wollford,E,Streptomyces phage Wollford,,,MH576968,NC_048722,Complete genome,dsDNA,bacteria,112.008
AT10B_S2_NODE_1_length_122269_cov_11.242561_165,ASR77303.1,61.3,80,31,0,87,166,100,179,5.3e-30,110.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77303.1,endolysin,Streptomyces phage NootNoot,179.0,MF347636.1,131086.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus nootnoot,E,Streptomyces phage NootNoot,,,MF347636,NC_042009,Complete genome,dsDNA,bacteria,49.04
AT10B_S2_NODE_1_length_122269_cov_11.242561_168,AVD99217.1,47.2,299,155,3,1,298,25,321,1.46e-94,285.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AVD99217.1,glycosyltransferase,Streptomyces phage BillNye,327.0,MG757153.1,127084.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Wilnyevirus,,Wilnyevirus billnye,E,Streptomyces phage BillNye,,,MG757153,NC_042105,Complete genome,dsDNA,bacteria,141.12800000000001
AT10B_S2_NODE_1_length_122269_cov_11.242561_169,ASR77307.1,89.4,650,66,1,1,650,1,647,0.0,1184.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77307.1,ribonucleotide reductase,Streptomyces phage NootNoot,647.0,MF347636.1,131086.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus nootnoot,E,Streptomyces phage NootNoot,,,MF347636,NC_042009,Complete genome,dsDNA,bacteria,581.1
AT10B_S2_NODE_1_length_122269_cov_11.242561_169,AXQ63295.1,63.5,649,233,2,1,649,1,645,7.07e-297,825.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AXQ63295.1,ribonucleotide reductase,Streptomyces phage Comrade,647.0,MH651172.1,129015.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Gilsonvirus,,Gilsonvirus comrade,E,Streptomyces phage Comrade,,,MH651172,NC_048728,Complete genome,dsDNA,bacteria,412.115
AT10B_S2_NODE_1_length_122269_cov_11.242561_170,AXH66793.1,62.9,342,78,6,1,306,1,329,4.09e-144,411.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AXH66793.1,LysM-like peptidoglycan-binding protein,Streptomyces phage StarPlatinum,331.0,MH576965.1,133886.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus StarPlatinum,E,Streptomyces phage StarPlatinum,,,MH576965,NC_048721,Complete genome,dsDNA,bacteria,215.118
AT10B_S2_NODE_1_length_122269_cov_11.242561_170,QBP30841.1,59.9,294,102,5,1,286,1,286,1.5899999999999997e-104,315.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QBP30841.1,LysM-like peptidoglycan binding protein,Streptomyces phage EGole,474.0,MK494112.1,135653.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus egole,E,Streptomyces phage Egole,,,MK494112,NC_055791,Complete genome,dsDNA,bacteria,176.106
AT10B_S2_NODE_1_length_122269_cov_11.242561_170,AWY07592.1,45.3,212,107,7,3,209,4,211,6.59e-45,157.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AWY07592.1,endolysin,Streptomyces phage Yosif,317.0,MH248947.1,50129.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Arquatrovirinae,Yosifvirus,,Yosifvirus yosif,E,Streptomyces phage Yosif,,,MH248947,NC_054656,Complete genome,dsDNA,bacteria,96.036
AT10B_S2_NODE_1_length_122269_cov_11.242561_172,QDK02902.1,80.2,111,22,0,1,111,3,113,2.23e-66,197.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QDK02902.1,hypothetical protein SEA_BRAELYN_45,Streptomyces phage Braelyn,113.0,MN096371.1,131234.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus braelyn,E,Streptomyces phage Braelyn,,,MN096371,NC_055813,Complete genome,dsDNA,bacteria,89.022
AT10B_S2_NODE_1_length_122269_cov_11.242561_172,AXQ63298.1,55.0,111,44,1,1,111,1,105,9.93e-41,132.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AXQ63298.1,hypothetical protein SEA_COMRADE_24,Streptomyces phage Comrade,105.0,MH651172.1,129015.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Gilsonvirus,,Gilsonvirus comrade,E,Streptomyces phage Comrade,,,MH651172,NC_048728,Complete genome,dsDNA,bacteria,61.050000000000004
AT10B_S2_NODE_1_length_122269_cov_11.242561_173,ASZ74883.1,50.4,387,186,2,83,467,58,440,1.1200000000000001e-125,381.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASZ74883.1,portal protein,Rhodococcus phage Trina,562.0,MF668286.1,139262.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Trinavirus,,Trinavirus trina,E,Rhodococcus phage Trina,,,MF668286,NC_042040,Complete genome,dsDNA,bacteria,195.048
AT10B_S2_NODE_1_length_122269_cov_11.242561_174,QJD50795.1,72.2,151,38,1,3,149,4,154,3.95e-81,238.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QJD50795.1,membrane protein,Streptomyces phage Bmoc,154.0,MT310865.1,132885.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus bmoc,E,Streptomyces phage Bmoc,,,MT310865,NC_055842,Complete genome,dsDNA,bacteria,109.022
AT10B_S2_NODE_1_length_122269_cov_11.242561_174,AVD99223.1,38.2,131,80,1,18,147,19,149,3e-29,106.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AVD99223.1,hypothetical protein SEA_BILLNYE_21,Streptomyces phage BillNye,149.0,MG757153.1,127084.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Wilnyevirus,,Wilnyevirus billnye,E,Streptomyces phage BillNye,,,MG757153,NC_042105,Complete genome,dsDNA,bacteria,50.04200000000001
AT10B_S2_NODE_1_length_122269_cov_11.242561_175,QGH76358.1,83.8,427,51,2,1,409,1,427,1.7099999999999998e-216,602.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QGH76358.1,capsid maturation protease,Streptomyces phage Daubenski,427.0,MN444876.1,133090.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus daubenski,E,Streptomyces phage Daubenski,,,MN444876,NC_055822,Complete genome,dsDNA,bacteria,357.82599999999996
AT10B_S2_NODE_1_length_122269_cov_11.242561_175,AXG66147.1,51.3,446,173,6,1,409,1,439,1.6400000000000002e-129,382.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AXG66147.1,capsid maturation protease,Streptomyces phage Annadreamy,439.0,MH536811.1,125726.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Annadreamyvirus,,Annadreamyvirus annadreamy,E,Streptomyces phage Annadreamy,,,MH536811,NC_048719,Complete genome,dsDNA,bacteria,228.79799999999997
AT10B_S2_NODE_1_length_122269_cov_11.242561_176,ASR77315.1,93.1,331,23,0,1,331,1,331,5.54e-227,622.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77315.1,major capsid protein,Streptomyces phage NootNoot,331.0,MF347636.1,131086.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus nootnoot,E,Streptomyces phage NootNoot,,,MF347636,NC_042009,Complete genome,dsDNA,bacteria,308.161
AT10B_S2_NODE_1_length_122269_cov_11.242561_176,AYM00256.1,26.6,319,199,7,13,326,20,308,4.58e-17,83.2,AT10B_S2_NODE_1_length_122269_cov_11,103329,AYM00256.1,major capsid protein,Halobacterium phage phiH,320.0,MK002701.1,58072.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Vertoviridae,,Myohalovirus,,Myohalovirus phiH,E,Halobacterium phage phi H,,variant 1,MK002701,NC_052650,Complete genome,dsDNA,archaea,84.854
AT10B_S2_NODE_1_length_122269_cov_11.242561_177,ASR77756.1,75.9,133,29,1,1,130,1,133,9.210000000000001e-66,197.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77756.1,hypothetical protein SEA_PEEBS_50,Streptomyces phage Peebs,133.0,MF347638.1,133047.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus peebs,E,Streptomyces phage Peebs,,,MF347638,NC_042011,Complete genome,dsDNA,bacteria,100.94700000000002
AT10B_S2_NODE_1_length_122269_cov_11.242561_177,AXH66801.1,62.3,130,48,1,1,129,1,130,4.84e-56,173.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AXH66801.1,hypothetical protein SEA_STARPLATINUM_53,Streptomyces phage StarPlatinum,131.0,MH576965.1,133886.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus StarPlatinum,E,Streptomyces phage StarPlatinum,,,MH576965,NC_048721,Complete genome,dsDNA,bacteria,80.99
AT10B_S2_NODE_1_length_122269_cov_11.242561_180,ASR77538.1,64.1,301,96,3,1,300,1,290,1.7999999999999998e-138,395.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77538.1,hypothetical protein SEA_PARADIDDLES_48,Streptomyces phage Paradiddles,290.0,MF347637.1,133486.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus paradiddles,E,Streptomyces phage Paradiddles,,,MF347637,NC_042010,Complete genome,dsDNA,bacteria,192.94099999999997
AT10B_S2_NODE_1_length_122269_cov_11.242561_180,AIW02555.1,62.8,301,100,3,1,300,1,290,1.3999999999999998e-135,387.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AIW02555.1,hypothetical protein PBI_JAY2JAY_57,Streptomyces phage Jay2Jay,290.0,KM652554.1,133531.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus jay2jay,E,Streptomyces phage Jay2jay,,,KM652554,NC_029098,Complete genome,dsDNA,bacteria,189.028
AT10B_S2_NODE_1_length_122269_cov_11.242561_180,AXH66802.1,63.1,301,99,3,1,300,1,290,1.68e-129,372.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AXH66802.1,hypothetical protein SEA_STARPLATINUM_54,Streptomyces phage StarPlatinum,290.0,MH576965.1,133886.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus StarPlatinum,E,Streptomyces phage StarPlatinum,,,MH576965,NC_048721,Complete genome,dsDNA,bacteria,189.93099999999998
AT10B_S2_NODE_1_length_122269_cov_11.242561_180,AXG66150.1,40.8,304,173,3,1,300,1,301,1.3400000000000001e-73,230.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AXG66150.1,head-to-tail connector complex protein,Streptomyces phage Annadreamy,301.0,MH536811.1,125726.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Annadreamyvirus,,Annadreamyvirus annadreamy,E,Streptomyces phage Annadreamy,,,MH536811,NC_048719,Complete genome,dsDNA,bacteria,124.032
AT10B_S2_NODE_1_length_122269_cov_11.242561_181,ASR75458.1,86.5,163,22,0,1,163,1,163,2.0400000000000002e-103,295.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR75458.1,hypothetical protein SEA_MILDRED21_51,Streptomyces phage Mildred21,166.0,MF155946.1,131976.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus mildred21,E,Streptomyces phage Mildred21,,,MF155946,NC_042008,Complete genome,dsDNA,bacteria,140.995
AT10B_S2_NODE_1_length_122269_cov_11.242561_182,AIW02557.1,78.4,264,57,0,1,264,3,266,7.59e-153,429.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AIW02557.1,hypothetical protein PBI_JAY2JAY_59,Streptomyces phage Jay2Jay,266.0,KM652554.1,133531.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus jay2jay,E,Streptomyces phage Jay2jay,,,KM652554,NC_029098,Complete genome,dsDNA,bacteria,206.97600000000003
AT10B_S2_NODE_1_length_122269_cov_11.242561_183,QBP30852.1,74.3,171,37,1,1,164,1,171,1.34e-91,266.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QBP30852.1,hypothetical protein SEA_EGOLE_56,Streptomyces phage EGole,185.0,MK494112.1,135653.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus egole,E,Streptomyces phage Egole,,,MK494112,NC_055791,Complete genome,dsDNA,bacteria,127.053
AT10B_S2_NODE_1_length_122269_cov_11.242561_184,AXH49179.1,67.5,209,65,2,1,206,1,209,5.47e-97,283.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AXH49179.1,major tail protein,Streptomyces phage Blueeyedbeauty,209.0,MH536814.1,130473.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Annadreamyvirus,,Annadreamyvirus blueeyedbeauty,E,Streptomyces phage Blueeyedbeauty,,,MH536814,NC_048720,Complete genome,dsDNA,bacteria,141.075
